"#instruction","registertype","num operands","imm op","test mode","instr set","options"
"vextractf32x8/vmovaps/n","512/m128/256","2/2/2","1/n/n","rndtr1","avx512dq",
"vextractf64x4/n","512/256","2/2","1/n","rndtr1","avx512",
"vextractf64x4/vmovaps/n","512/m256/256","2/2/2","1/n/n","rndtr1","avx512",
"extractps/movd","128/32","2/2","1/n","rndtr1","sse4.1",
"extractps/movss","128/m32","2/2","1/n","rndtr1","sse4.1",
,,,,,,
"blendps",128,2,1,"ltm","sse4.1",
"vblendps",256,3,2,"lt","avx","3op"
"blendvps",128,3,,"macros=misc_vect.inc","sse4.1","tmode=L"
"blendvps",128,3,,"macros=misc_vect.inc","sse4.1","tmode=T"
"blendvps",128,3,,"macros=misc_vect.inc","sse4.1","tmode=M"
"vblendvps",128,4,,"lt","avx",
"vblendvps",256,4,,"lt","avx",
,,,,,,
"blendvpd",128,3,,"macros=miscellaneous.inc","sse4.1","tmode=L modelins=blendvps"
"blendvpd",128,3,,"macros=miscellaneous.inc","sse4.1","tmode=T modelins=blendvps"
"blendvpd",128,3,,"macros=miscellaneous.inc","sse4.1","tmode=M modelins=blendvps"
"vblendvpd",128,4,,"lt","avx",
"vblendvpd",256,4,,"lt","avx",
,,,,,,
"vblendmps",512,3,,"masklt","avx512","mask=0x50F5"
"vblendmpd",512,3,,"masklt","avx512","mask=0xE5"
,,,,,,
"shufps",128,2,1,"ltm","sse",
"vshufps",256,3,2,"ltm","avx",
"vshufps",512,3,3,"ltm","avx512",
"shufpd",128,2,1,"lt","sse2",
"vshufpd",256,3,2,"lt","avx",
"vshufpd",512,3,3,"lt","avx512",
,,,,,,
"VSHUFF32x4",512,3,3,"lt","avx512",
"VSHUFF64x2",512,3,3,"lt","avx512",
"VSHUFI32x4",512,3,3,"lt","avx512",
"VSHUFI64x2",512,3,3,"lt","avx512",
,,,,,,
"vpermilps",128,3,,"ltm","avx",
"vpermilps",256,3,,"lt","avx",
"vpermilps",512,3,,"lt","avx512",
"vpermilps",128,2,1,"ltm","avx",
"vpermilps",256,2,2,"lt","avx",
"vpermilps",512,2,3,"lt","avx512",
"vpermilpd",128,3,,"ltm","avx",
"vpermilpd",256,3,,"lt","avx",
"vpermilpd",512,3,,"lt","avx512",
"vpermilpd",128,2,1,"ltm","avx",
"vpermilpd",256,2,2,"lt","avx",
"vpermilpd",512,2,3,"lt","avx512",
,,,,,,
"vpermps",256,3,,"ltm","avx2",
"vpermps",512,3,,"lt","avx512",
"vpermpd",256,3,,"lt","avx512vl",
"vpermpd",512,3,,"lt","avx512",
"vpermpd",256,2,4,"ltm","avx2",
"vpermpd",512,2,5,"lt","avx512",
,,,,,,
"vperm2f128",256,3,1,"ltm","avx2",
"vpermi2ps",128,3,,"lt","avx512vl","3op"
"vpermi2ps",256,3,,"lt","avx512vl","3op"
"vpermi2ps",512,3,,"ltm","avx512","3op"
"vpermt2ps",512,3,,"ltm","avx512","3op"
"vpermi2pd",128,3,,"lt","avx512vl","3op"
"vpermi2pd",256,3,,"lt","avx512vl","3op"
"vpermi2pd",512,3,,"ltm","avx512","3op"
"vpermt2pd",512,3,,"ltm","avx512","3op"
,,,,,,
"vcompressps",512,2,,"masklt","avx512","mask=0x50F5"
"vcompresspd",512,2,,"masklt","avx512","mask=0x55"
,,,,,,
"vexpandps",512,2,,"masklt","avx512","mask=0x50F5"
"vexpandpd",512,2,,"masklt","avx512","mask=0x53"
