"#instruction","registertype","num operands","imm op","test mode","instr set","options"
"VSCALEFSS",128,3,,"lt","avx512",
"VSCALEFSD",128,3,,"lt","avx512",
"VSCALEFPS",512,3,,"lt","avx512",
"VSCALEFPD",512,3,,"lt","avx512",
,,,,,,
"vreducess",128,3,16,"ltm","avx512dq",
"vreduceps",128,3,16,"lt","avx512vl",
"vreduceps",256,3,16,"lt","avx512vl",
"vreduceps",512,3,16,"lt","avx512dq",
"vreducesd",128,3,16,"lt","avx512dq",
"vreducepd",128,3,16,"lt","avx512vl",
"vreducepd",256,3,16,"lt","avx512vl",
"vreducepd",512,3,16,"ltm","avx512dq",
,,,,,,
"VRANGEPS",512,3,1,"lt","avx512dq",
"VRANGEPD",512,3,1,"lt","avx512dq",
,,,,,,
"dpps",128,2,241,"ltm","sse4.1",
"vdpps",256,3,241,"ltm","avx",
"dppd",128,2,49,"ltm","sse4.1",
,,,,,,
"vfmadd132ss",128,3,,"ltm","fma3","3op"
"vfmadd132ps",128,3,,"lt","fma3","3op"
"vfmadd132ps",128,3,,"lt","fma3","3op"
"vfmadd213ps",256,3,,"lt","fma3","3op"
"vfmadd231ps",512,3,,"ltm","avx512","3op"
"vfmaddsub132ps",128,3,,"lt","fma3","3op"
"vfmsubadd321ps",256,3,,"lt","fma3","3op"
"vfmsub231ps",512,3,,"lt","avx512","3op"
"vfnmadd132ps",128,3,,"lt","fma3","3op"
"vfmadd132sd",128,3,,"lt","fma3","3op"
"vfmadd132pd",128,3,,"lt","fma3","3op"
"vfmadd213pd",256,3,,"lt","fma3","3op"
"vfmadd231pd",512,3,,"lt","avx512","3op"
,,,,,,
"cmpeqss",128,2,,"ltm","sse",
"cmpltps",128,2,,"ltm","sse",
"vcmpleps",256,3,,"lt","avx",
"vcmpps",128,3,0,"maskcmplt","avx512vl",
"vcmpps",256,3,1,"maskcmplt","avx512vl",
"vcmpps",512,3,2,"maskcmplt","avx512",
"cmpeqsd",128,2,,"ltm","sse2",
"cmpltpd",128,2,,"ltm","sse2",
"vcmplepd",256,3,,"lt","avx",
"vcmppd",128,3,3,"maskcmplt","avx512vl",
"vcmppd",256,3,4,"maskcmplt","avx512vl",
"vcmppd",512,3,5,"maskcmplt","avx512",
,,,,,,
"comiss",128,2,,"tm","sse",
"$text=\nround trip latency comiss / setb / movd",,,,,"sse",
"comiss",128,2,,"macros=latencycf.inc","sse",
"ucomiss",128,2,,"t","sse",
"$text=\nround trip latency ucomiss / setb / movd",,,,,"sse",
"ucomiss",128,2,,"macros=latencycf.inc","sse",
"comisd",128,2,,"t","sse2",
"$text=\nround trip latency comisd / setb / movd",,,,,"sse",
"comisd",128,2,,"macros=latencycf.inc","sse2",
"ucomisd",128,2,,"t","sse2",
"$text=\nround trip latency ucomisd / setb / movd",,,,,"sse2",
"ucomisd",128,2,,"macros=latencycf.inc","sse2",
,,,,,,
"VFPCLASSPS",512,2,5,"maskcmplt","avx512dq",
,,,,,,
"andps",128,2,,"ltm","sse",
"vandps",256,3,,"ltm","avx",
"vandps",512,3,,"ltm","avx512dq",
"andpd",128,2,,"ltm","sse",
"vandpd",256,3,,"ltm","avx",
"vandpd",512,3,,"ltm","avx512dq",
"andnps",128,2,,"ltm","sse",
"vorps",256,3,,"ltm","avx",
"vxorps",256,3,,"ltm","avx",
"vorpd",512,3,,"ltm","avx512dq",
